beta1,beta2,d_model,delay_ratio,device,elapsed_sec,eval_every,final_test_acc,final_train_acc,final_wn_hidden,final_wn_total,grok_step,grok_thresh,init_scale,lr,memorize_step,memorize_thresh,mlp_ratio,muon_lr,n_heads,n_layers,n_params,op,optimizer,p,seed,steps,stopped_step,swept_lr,train_frac,weight_decay
0.9,0.98,128,23.333333333333332,cuda,62.88674354553223,50,0.9991142153739929,1.0,15.212979799225497,37.01083730845644,3500,0.95,1.0,0.0003,150,0.99,4,0.02,4,2,419968,add,adamw,97,0,20000,7100,0.0003,0.4,0.01
0.9,0.98,128,45.666666666666664,cuda,98.72778654098511,50,0.9991142153739929,1.0,14.912499595188029,44.912675346886026,6850,0.95,1.0,0.0003,150,0.99,4,0.02,4,2,419968,add,adamw,97,1,20000,11200,0.0003,0.4,0.01
0.9,0.98,128,25.0,cuda,82.51356887817383,50,0.9991142153739929,1.0,15.244356095955773,38.885094561874816,3750,0.95,1.0,0.0003,150,0.99,4,0.02,4,2,419968,add,adamw,97,2,20000,9550,0.0003,0.4,0.01
0.9,0.98,128,19.5,cuda,32.38700294494629,50,0.9991142153739929,1.0,19.235309494459823,39.07347100105713,1950,0.95,1.0,0.001,100,0.99,4,0.02,4,2,419968,add,adamw,97,0,20000,3750,0.001,0.4,0.01
0.9,0.98,128,32.0,cuda,38.41624474525452,50,0.9992913603782654,1.0,18.9126002216394,39.609031570843676,3200,0.95,1.0,0.001,100,0.99,4,0.02,4,2,419968,add,adamw,97,1,20000,4450,0.001,0.4,0.01
0.9,0.98,128,72.5,cuda,102.25508499145508,50,0.9991142153739929,1.0,19.393499906687197,200.5973411071247,7250,0.95,1.0,0.001,100,0.99,4,0.02,4,2,419968,add,adamw,97,2,20000,11850,0.001,0.4,0.01
0.9,0.98,128,88.0,cuda,91.4833471775055,50,0.9991142153739929,1.0,38.559028333198,133.65873320712174,8800,0.95,1.0,0.003,100,0.99,4,0.02,4,2,419968,add,adamw,97,0,20000,10600,0.003,0.4,0.01
0.9,0.98,128,141.5,cuda,146.9313564300537,50,0.9992913603782654,1.0,41.54945607110504,369.56563762168696,14150,0.95,1.0,0.003,100,0.99,4,0.02,4,2,419968,add,adamw,97,1,20000,17000,0.003,0.4,0.01
0.9,0.98,128,159.0,cuda,172.71011471748352,50,0.9930912256240845,1.0,44.266028567008526,357.1195590295218,15900,0.95,1.0,0.003,100,0.99,4,0.02,4,2,419968,add,adamw,97,2,20000,20000,0.003,0.4,0.01
0.9,0.98,128,,cuda,172.6420819759369,50,0.076527900993824,1.0,114.6755611015915,197.64299058052646,,0.95,1.0,0.01,350,0.99,4,0.02,4,2,419968,add,adamw,97,0,20000,20000,0.01,0.4,0.01
0.9,0.98,128,,cuda,172.52664256095886,50,0.25845879316329956,1.0,130.75524425018594,206.20506457293678,,0.95,1.0,0.01,850,0.99,4,0.02,4,2,419968,add,adamw,97,1,20000,20000,0.01,0.4,0.01
0.9,0.98,128,19.733333333333334,cuda,162.2969846725464,50,0.9998228549957275,1.0,108.43450765301225,182.60921514658665,14800,0.95,1.0,0.01,750,0.99,4,0.02,4,2,419968,add,adamw,97,2,20000,18800,0.01,0.4,0.01
0.9,0.98,128,1.5,cuda,6.419247150421143,50,1.0,1.0,42.3435315115947,51.334243679058,150,0.95,1.0,0.001,100,0.99,4,0.005,4,2,419968,add,muon,97,0,20000,650,0.005,0.4,0.01
0.9,0.98,128,2.0,cuda,6.794647455215454,50,1.0,1.0,42.94277006676537,51.94014540239173,200,0.95,1.0,0.001,100,0.99,4,0.005,4,2,419968,add,muon,97,1,20000,700,0.005,0.4,0.01
0.9,0.98,128,2.0,cuda,6.797531604766846,50,1.0,1.0,42.77741281648212,51.794871816428795,200,0.95,1.0,0.001,100,0.99,4,0.005,4,2,419968,add,muon,97,2,20000,700,0.005,0.4,0.01
0.9,0.98,128,2.0,cuda,5.794013500213623,50,1.0,1.0,76.81119158183708,82.0083613428188,100,0.95,1.0,0.001,50,0.99,4,0.01,4,2,419968,add,muon,97,0,20000,600,0.01,0.4,0.01
0.9,0.98,128,2.0,cuda,5.819113492965698,50,1.0,1.0,76.73275518368028,81.9397032850963,100,0.95,1.0,0.001,50,0.99,4,0.01,4,2,419968,add,muon,97,1,20000,600,0.01,0.4,0.01
0.9,0.98,128,3.0,cuda,6.307326793670654,50,1.0,1.0,78.30404931677734,83.46804416443221,150,0.95,1.0,0.001,50,0.99,4,0.01,4,2,419968,add,muon,97,2,20000,650,0.01,0.4,0.01
0.9,0.98,128,2.0,cuda,5.819037914276123,50,1.0,1.0,146.4683687088327,149.24543604632515,100,0.95,1.0,0.001,50,0.99,4,0.02,4,2,419968,add,muon,97,0,20000,600,0.02,0.4,0.01
0.9,0.98,128,2.0,cuda,5.817115545272827,50,1.0,1.0,147.73830340410916,150.49405368291426,100,0.95,1.0,0.001,50,0.99,4,0.02,4,2,419968,add,muon,97,1,20000,600,0.02,0.4,0.01
0.9,0.98,128,2.0,cuda,5.831156492233276,50,1.0,1.0,150.58792131475366,153.2908119539268,100,0.95,1.0,0.001,50,0.99,4,0.02,4,2,419968,add,muon,97,2,20000,600,0.02,0.4,0.01
0.9,0.98,128,1.0,cuda,5.350376129150391,50,1.0,1.0,279.212722025027,280.65491007944644,50,0.95,1.0,0.001,50,0.99,4,0.04,4,2,419968,add,muon,97,0,20000,550,0.04,0.4,0.01
0.9,0.98,128,1.0,cuda,5.333357810974121,50,0.9998228549957275,1.0,305.7220632870136,307.0409533079262,50,0.95,1.0,0.001,50,0.99,4,0.04,4,2,419968,add,muon,97,1,20000,550,0.04,0.4,0.01
0.9,0.98,128,1.0,cuda,5.343937635421753,50,1.0,1.0,288.14840689223195,289.5468602500652,50,0.95,1.0,0.001,50,0.99,4,0.04,4,2,419968,add,muon,97,2,20000,550,0.04,0.4,0.01
0.9,0.98,128,4.0,cuda,172.51495027542114,50,0.8506642580032349,1.0,10.777586642175297,92.17194661349795,600,0.95,1.0,0.001,150,0.99,4,0.005,4,2,419968,add,sgdm,97,0,20000,20000,0.005,0.4,0.01
0.9,0.98,128,20.333333333333332,cuda,172.3015992641449,50,0.8860938549041748,1.0,16.874950832719172,117.11991011736468,3050,0.95,1.0,0.001,150,0.99,4,0.005,4,2,419968,add,sgdm,97,1,20000,20000,0.005,0.4,0.01
0.9,0.98,128,,cuda,172.35478377342224,50,0.16510185599327087,0.23007439076900482,51.26621662168099,122.62248010309808,,0.95,1.0,0.001,150,0.99,4,0.005,4,2,419968,add,sgdm,97,2,20000,20000,0.005,0.4,0.01
0.9,0.98,128,28.0,cuda,172.44947624206543,50,0.0756421610713005,0.10441020131111145,46.370585220044724,114.02212876676049,4200,0.95,1.0,0.001,150,0.99,4,0.01,4,2,419968,add,sgdm,97,0,20000,20000,0.01,0.4,0.01
0.9,0.98,128,3.3333333333333335,cuda,23.22045087814331,50,0.9991142153739929,1.0,9.76575120768056,45.245895956913415,500,0.95,1.0,0.001,150,0.99,4,0.01,4,2,419968,add,sgdm,97,1,20000,2700,0.01,0.4,0.01
0.9,0.98,128,3.0,cuda,21.581557750701904,50,0.9991142153739929,1.0,11.112544073182663,48.18033259187087,450,0.95,1.0,0.001,150,0.99,4,0.01,4,2,419968,add,sgdm,97,2,20000,2500,0.01,0.4,0.01
0.9,0.98,128,1.6666666666666667,cuda,39.63766431808472,50,0.9991142153739929,1.0,6.349143413342237,48.195065572077944,250,0.95,1.0,0.001,150,0.99,4,0.02,4,2,419968,add,sgdm,97,0,20000,4600,0.02,0.4,0.01
0.9,0.98,128,35.333333333333336,cuda,226.05082821846008,50,0.7939769625663757,0.8966524600982666,16.03232236253699,79.00735419559246,5300,0.95,1.0,0.001,150,0.99,4,0.02,4,2,419968,add,sgdm,97,1,20000,20000,0.02,0.4,0.01
0.9,0.98,128,1.6666666666666667,cuda,329.0473005771637,50,0.9991142153739929,1.0,4.407419919463777,66.9699624635992,250,0.95,1.0,0.001,150,0.99,4,0.02,4,2,419968,add,sgdm,97,2,20000,16850,0.02,0.4,0.01
0.9,0.98,128,1.5,cuda,380.5162568092346,50,0.9443755149841309,0.9872475862503052,20.256598610189556,61.48722526991443,150,0.95,1.0,0.001,100,0.99,4,0.04,4,2,419968,add,sgdm,97,0,20000,20000,0.04,0.4,0.01
0.9,0.98,128,1.5,cuda,375.116895198822,50,0.6839681267738342,0.7938363552093506,20.36757296084771,60.123680987563105,150,0.95,1.0,0.001,100,0.99,4,0.04,4,2,419968,add,sgdm,97,1,20000,20000,0.04,0.4,0.01
