p,op,d_model,n_heads,n_layers,mlp_ratio,optimizer,lr,muon_lr,init_scale,weight_decay,beta1,beta2,train_frac,steps,eval_every,seed,device,memorize_thresh,grok_thresh,memorize_step,grok_step,delay_ratio,final_train_acc,final_test_acc,final_wn_total,final_wn_hidden,n_params,elapsed_sec,stopped_step
97,mul,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,0,cuda,0.99,0.95,50,100,2.0,1.0,1.0,155.4827451044853,152.8220380618673,419968,6.0736870765686035,600
97,mul,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,1,cuda,0.99,0.95,50,100,2.0,1.0,1.0,151.2960589684251,148.55477152081505,419968,5.81816029548645,600
97,mul,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,2,cuda,0.99,0.95,50,100,2.0,1.0,1.0,152.84634383706452,150.13332616378017,419968,5.809819221496582,600
97,mul,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,3,cuda,0.99,0.95,50,100,2.0,1.0,1.0,153.9285740740183,151.23555314607867,419968,5.825607061386108,600
97,mul,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,4,cuda,0.99,0.95,50,100,2.0,1.0,1.0,151.25518117595092,148.51409670521522,419968,5.8393332958221436,600
97,mul,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,0,cuda,0.99,0.95,100,5400,54.0,1.0,0.9991142153739929,74.70772426174088,19.912285505098605,419968,63.934364318847656,7400
97,mul,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,1,cuda,0.99,0.95,100,5600,56.0,1.0,0.9992913603782654,45.91114960494838,20.051223414094125,419968,56.60624122619629,6550
97,mul,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,2,cuda,0.99,0.95,100,2700,27.0,1.0,0.9992913603782654,39.63843472905116,19.51651609782388,419968,38.071919679641724,4400
97,mul,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,3,cuda,0.99,0.95,100,4200,42.0,1.0,0.9991142153739929,42.110711935608165,20.336245112047187,419968,50.91590881347656,5900
97,mul,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.4,20000,50,4,cuda,0.99,0.95,100,2600,26.0,1.0,0.9992913603782654,39.59146418295727,19.454751384110295,419968,37.18178582191467,4300
