p,op,d_model,n_heads,n_layers,mlp_ratio,optimizer,lr,muon_lr,init_scale,weight_decay,beta1,beta2,train_frac,steps,eval_every,seed,device,memorize_thresh,grok_thresh,mech,memorize_step,grok_step,delay_ratio,final_train_acc,final_test_acc,final_wn_total,final_wn_hidden,n_params,elapsed_sec,stopped_step
97,s5,128,4,2,4,muon,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,0,cuda,0.99,0.95,False,50,,,0.9998264312744141,0.022685185074806213,345.5249138481266,341.19531419941956,425856,164.02953243255615,12000
97,s5,128,4,2,4,muon,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,1,cuda,0.99,0.95,False,50,8250,165.0,1.0,0.9993055462837219,312.55571201990966,308.3445983918348,425856,123.63796591758728,9050
97,s5,128,4,2,4,muon,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,2,cuda,0.99,0.95,False,50,,,0.9996528029441833,0.07430555671453476,363.12057928514787,358.3948651899623,425856,164.13031101226807,12000
97,s5,128,4,2,4,muon,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,3,cuda,0.99,0.95,False,50,,,1.0,0.01597222127020359,364.38181993549654,359.9494617168282,425856,164.3601245880127,12000
97,s5,128,4,2,4,muon,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,4,cuda,0.99,0.95,False,50,,,1.0,0.04305555298924446,367.14551737947494,362.66803352247973,425856,164.3641266822815,12000
97,s5,128,4,2,4,adamw,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,0,cuda,0.99,0.95,False,100,,,1.0,0.007870370522141457,244.36711333519398,39.611439017968266,425856,152.34429335594177,12000
97,s5,128,4,2,4,adamw,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,1,cuda,0.99,0.95,False,100,,,1.0,0.006828703451901674,291.9528075411127,39.94704460508517,425856,152.65196537971497,12000
97,s5,128,4,2,4,adamw,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,2,cuda,0.99,0.95,False,100,,,1.0,0.005439814645797014,252.01759633464815,39.70481213824835,425856,153.8456494808197,12000
97,s5,128,4,2,4,adamw,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,3,cuda,0.99,0.95,False,100,,,1.0,0.008449073880910873,257.9695927086804,39.2813816842214,425856,155.68281936645508,12000
97,s5,128,4,2,4,adamw,0.001,0.02,3.0,0.01,0.9,0.98,0.4,12000,50,4,cuda,0.99,0.95,False,100,,,1.0,0.0038194444496184587,252.69112192796126,39.780748482514774,425856,155.74174451828003,12000
