p,op,d_model,n_heads,n_layers,mlp_ratio,optimizer,lr,muon_lr,init_scale,weight_decay,beta1,beta2,train_frac,steps,eval_every,seed,device,memorize_thresh,grok_thresh,mech,memorize_step,grok_step,delay_ratio,final_train_acc,final_test_acc,final_wn_total,final_wn_hidden,n_params,elapsed_sec,stopped_step
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.25,20000,50,0,cuda,0.99,0.95,False,50,1050,21.0,1.0,0.9991497993469238,152.32760602385142,148.6332309455345,419968,15.714223861694336,2300
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.25,20000,50,1,cuda,0.99,0.95,False,50,1750,35.0,1.0,0.8704832196235657,326.22294916232505,322.43585768989584,419968,134.64810585975647,20000
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.25,20000,50,2,cuda,0.99,0.95,False,50,1900,38.0,1.0,0.6913703083992004,356.91352840611995,351.2552699226554,419968,134.40352177619934,20000
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.3,20000,50,0,cuda,0.99,0.95,False,50,300,6.0,1.0,0.9993926286697388,156.92322042926259,154.03015842155438,419968,7.611006736755371,1000
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.3,20000,50,1,cuda,0.99,0.95,False,50,200,4.0,1.0,0.9995445013046265,152.99522713313584,150.18983735144113,419968,5.725121259689331,750
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.3,20000,50,2,cuda,0.99,0.95,False,50,300,6.0,1.0,0.9992408156394958,157.1087466065691,154.2494732370146,419968,7.192009925842285,950
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.5,20000,50,0,cuda,0.99,0.95,False,50,50,1.0,1.0,1.0,146.02272394532753,143.21647936231884,419968,6.4249656200408936,550
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.5,20000,50,1,cuda,0.99,0.95,False,50,50,1.0,1.0,1.0,148.19152842101084,145.42386997748517,419968,6.523858547210693,550
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.5,20000,50,2,cuda,0.99,0.95,False,50,50,1.0,1.0,1.0,153.20776655150442,150.53327102682368,419968,6.5707128047943115,550
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.6,20000,50,0,cuda,0.99,0.95,False,50,50,1.0,1.0,1.0,142.74458454369716,139.87147202529698,419968,7.481224536895752,550
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.6,20000,50,1,cuda,0.99,0.95,False,50,50,1.0,1.0,1.0,147.67753562492672,144.89955764397598,419968,7.491515398025513,550
97,add,128,4,2,4,muon,0.001,0.02,1.0,0.01,0.9,0.98,0.6,20000,50,2,cuda,0.99,0.95,False,50,50,1.0,1.0,1.0,150.667625762992,147.94673930471885,419968,7.473846673965454,550
97,add,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.25,20000,50,0,cuda,0.99,0.95,False,100,,,1.0,0.19512541592121124,605.7455515615425,18.638146388347128,419968,113.5429048538208,20000
97,add,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.25,20000,50,1,cuda,0.99,0.95,False,100,,,1.0,0.0945160835981369,564.1614914015096,19.172544385296824,419968,114.63813638687134,20000
97,add,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.25,20000,50,2,cuda,0.99,0.95,False,100,,,1.0,0.14227008819580078,605.1345640985969,18.56062918846185,419968,114.2552843093872,20000
97,add,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.3,20000,50,0,cuda,0.99,0.95,False,100,,,1.0,0.2951715886592865,553.4697227241726,19.2908685517737,419968,135.37278079986572,20000
97,add,128,4,2,4,adamw,0.001,0.02,1.0,0.01,0.9,0.98,0.3,20000,50,1,cuda,0.99,0.95,False,100,,,1.0,0.14500455558300018,613.7445865327021,18.734452757304165,419968,135.45198941230774,20000
