[1/30] d128_l2_h4_none_t2101_s100_adamw: fit=0.704 mse=1.9946 328s
[2/30] d128_l2_h4_none_t2101_s101_adamw: fit=1.000 mse=0.0004 311s
[3/30] d128_l2_h4_none_t2101_s102_adamw: fit=0.865 mse=0.9998 285s
[4/30] d128_l2_h4_none_t2101_s103_adamw: fit=0.865 mse=1.0089 288s
[5/30] d128_l2_h4_none_t2101_s104_adamw: fit=0.865 mse=1.0072 271s
[6/30] d128_l2_h4_none_t2101_s100_muon: fit=0.883 mse=0.8707 313s
[7/30] d128_l2_h4_none_t2101_s101_muon: fit=0.699 mse=2.0025 311s
[8/30] d128_l2_h4_none_t2101_s102_muon: fit=1.000 mse=0.0017 312s
[9/30] d128_l2_h4_none_t2101_s103_muon: fit=0.853 mse=1.1013 315s
[10/30] d128_l2_h4_none_t2101_s104_muon: fit=1.000 mse=0.0008 314s
[11/30] d128_l2_h4_none_t2102_s100_adamw: fit=0.866 mse=0.9935 304s
[12/30] d128_l2_h4_none_t2102_s101_adamw: fit=0.983 mse=0.1339 322s
[13/30] d128_l2_h4_none_t2102_s102_adamw: fit=0.997 mse=0.0274 322s
[14/30] d128_l2_h4_none_t2102_s103_adamw: fit=1.000 mse=0.0011 318s
[15/30] d128_l2_h4_none_t2102_s104_adamw: fit=1.000 mse=0.0013 310s
[16/30] d128_l2_h4_none_t2102_s100_muon: fit=0.972 mse=0.2230 316s
[17/30] d128_l2_h4_none_t2102_s101_muon: fit=1.000 mse=0.0011 319s
[18/30] d128_l2_h4_none_t2102_s102_muon: fit=1.000 mse=0.0019 317s
[19/30] d128_l2_h4_none_t2102_s103_muon: fit=1.000 mse=0.0009 321s
[20/30] d128_l2_h4_none_t2102_s104_muon: fit=1.000 mse=0.0009 317s
[21/30] d128_l2_h4_none_t2103_s100_adamw: fit=1.000 mse=0.0017 318s
[22/30] d128_l2_h4_none_t2103_s101_adamw: fit=0.998 mse=0.0231 326s
[23/30] d128_l2_h4_none_t2103_s102_adamw: fit=0.930 mse=0.5413 315s
[24/30] d128_l2_h4_none_t2103_s103_adamw: fit=0.883 mse=0.9012 304s
[25/30] d128_l2_h4_none_t2103_s104_adamw: fit=0.890 mse=0.8327 312s
[26/30] d128_l2_h4_none_t2103_s100_muon: fit=1.000 mse=0.0005 310s
[27/30] d128_l2_h4_none_t2103_s101_muon: fit=0.868 mse=1.0017 307s
[28/30] d128_l2_h4_none_t2103_s102_muon: fit=1.000 mse=0.0016 310s
[29/30] d128_l2_h4_none_t2103_s103_muon: fit=1.000 mse=0.0015 309s
[30/30] d128_l2_h4_none_t2103_s104_muon: fit=0.865 mse=1.0039 308s
P1-C1 DONE
